epoch,train_loss,train_acc,val_acc,val_kappa,lr
1,2.3393,0.1789,0.2635,0.3204,0.000100
2,2.2389,0.2722,0.5965,0.4484,0.000200
3,2.2281,0.2833,0.4670,0.4081,0.000300
4,2.2106,0.3227,0.4627,0.3581,0.000299
5,2.1847,0.3708,0.3406,0.3148,0.000296
6,2.1622,0.3960,0.3641,0.3957,0.000030
7,2.1498,0.4010,0.3810,0.4347,0.000030
8,2.1388,0.4260,0.5057,0.4511,0.000029
9,2.1270,0.4364,0.5010,0.3410,0.000029
10,2.1150,0.4439,0.6112,0.4854,0.000028
11,2.0977,0.4533,0.5416,0.3472,0.000027
12,2.1001,0.4632,0.5296,0.4261,0.000026
13,2.0825,0.4723,0.5652,0.4608,0.000024
14,2.0681,0.4787,0.6103,0.5333,0.000022
15,2.0777,0.4902,0.6452,0.5407,0.000021
16,2.0662,0.4959,0.6670,0.4756,0.000019
17,2.0418,0.5098,0.5806,0.5076,0.000017
18,2.0468,0.4962,0.6624,0.6194,0.000015
19,2.0579,0.5073,0.6342,0.6244,0.000013
20,2.0378,0.5114,0.6968,0.6454,0.000011
21,2.0268,0.5194,0.6419,0.6064,0.000009
22,2.0194,0.5144,0.5544,0.5302,0.000008
23,2.0249,0.5194,0.5911,0.5128,0.000006
24,2.0189,0.5248,0.6153,0.5725,0.000004
25,2.0214,0.5202,0.6409,0.5695,0.000003
26,2.0160,0.5246,0.6587,0.6190,0.000002
27,1.9917,0.5302,0.6385,0.5990,0.000001
